date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:44:57	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Aug%202024%2004:14:57%20GMT	https://bharatmatka.in.net/robots.txt		(from )
09:44:57	64775/64775	---M--	200	added ('OK')	text/html	date:Mon,%2029%20Apr%202024%2018:00:52%20GMT	https://bharatmatka.in.net/	C:/My%20Web%20Sites/dmboss/bharatmatka.in.net/index.html	(from )
09:44:57	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Aug%202024%2004:14:57%20GMT	https://bharatmatka.in.net/images/favicon.html	C:/My%20Web%20Sites/dmboss/bharatmatka.in.net/images/favicon.0.delayed	(from https://bharatmatka.in.net/)
09:44:58	206326/206326	---M--	200	added ('OK')	text/css	date:Fri,%2019%20Apr%202024%2004:19:18%20GMT	https://bharatmatka.in.net/css/all.bundle.style.css	C:/My%20Web%20Sites/dmboss/bharatmatka.in.net/css/all.bundle.style.css	(from https://bharatmatka.in.net/)
09:44:58	91061/91061	---M--	200	added ('OK')	text/css	date:Fri,%2019%20Apr%202024%2004:20:10%20GMT	https://bharatmatka.in.net/css/line-awesome.min.css	C:/My%20Web%20Sites/dmboss/bharatmatka.in.net/css/line-awesome.min.css	(from https://bharatmatka.in.net/)
09:44:58	31330/31330	---M--	200	added ('OK')	text/css	date:Fri,%2019%20Apr%202024%2004:20:22%20GMT	https://bharatmatka.in.net/css/font-awesome.min.css	C:/My%20Web%20Sites/dmboss/bharatmatka.in.net/css/font-awesome.min.css	(from https://bharatmatka.in.net/)
09:44:58	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Aug%202024%2004:14:59%20GMT	https://bharatmatka.in.net/images/apple-touch-icon.png	C:/My%20Web%20Sites/dmboss/bharatmatka.in.net/images/apple-touch-icon.4.delayed	(from https://bharatmatka.in.net/)
09:44:59	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Aug%202024%2004:14:59%20GMT	https://bharatmatka.in.net/images/favicon-32x32.png	C:/My%20Web%20Sites/dmboss/bharatmatka.in.net/images/favicon-32x32.5.delayed	(from https://bharatmatka.in.net/)
09:44:59	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Aug%202024%2004:14:59%20GMT	https://bharatmatka.in.net/images/favicon-16x16.png	C:/My%20Web%20Sites/dmboss/bharatmatka.in.net/images/favicon-16x16.6.delayed	(from https://bharatmatka.in.net/)
09:44:59	44996/44996	---M--	200	added ('OK')	image/webp	date:Fri,%2019%20Apr%202024%2004:22:06%20GMT	https://bharatmatka.in.net/images/Google-Play-Logo.webp	C:/My%20Web%20Sites/dmboss/bharatmatka.in.net/images/Google-Play-Logo.webp	(from https://bharatmatka.in.net/)
09:45:00	112982/112982	---M--	200	added ('OK')	image/png	date:Fri,%2019%20Apr%202024%2004:41:40%20GMT	https://bharatmatka.in.net/images/logo.png	C:/My%20Web%20Sites/dmboss/bharatmatka.in.net/images/logo.png	(from https://bharatmatka.in.net/)
09:45:00	13517342/13517342	---M--	200	added ('OK')	application/vnd.android.package-archive	date:Mon,%2029%20Apr%202024%2017:59:10%20GMT	https://bharatmatka.in.net/app/RatanMatka.apk	C:/My%20Web%20Sites/dmboss/bharatmatka.in.net/app/RatanMatka.apk	(from https://bharatmatka.in.net/)
09:45:00	601451/601451	---M--	200	added ('OK')	image/png	date:Mon,%2029%20Apr%202024%2017:22:42%20GMT	https://bharatmatka.in.net/images/screen-2.png	C:/My%20Web%20Sites/dmboss/bharatmatka.in.net/images/screen-2.png	(from https://bharatmatka.in.net/)
09:45:01	684029/684029	---M--	200	added ('OK')	image/png	date:Mon,%2029%20Apr%202024%2017:31:26%20GMT	https://bharatmatka.in.net/images/screen-1.png	C:/My%20Web%20Sites/dmboss/bharatmatka.in.net/images/screen-1.png	(from https://bharatmatka.in.net/)
09:45:01	1136895/1136895	---M--	200	added ('OK')	image/png	date:Mon,%2029%20Apr%202024%2017:37:54%20GMT	https://bharatmatka.in.net/images/screen-3.png	C:/My%20Web%20Sites/dmboss/bharatmatka.in.net/images/screen-3.png	(from https://bharatmatka.in.net/)
09:45:01	1131847/1131847	---M--	200	added ('OK')	image/png	date:Mon,%2029%20Apr%202024%2017:41:06%20GMT	https://bharatmatka.in.net/images/screen-4.png	C:/My%20Web%20Sites/dmboss/bharatmatka.in.net/images/screen-4.png	(from https://bharatmatka.in.net/)
09:45:01	244/244	---M--	200	added ('OK')	image/webp	date:Fri,%2019%20Apr%202024%2004:24:52%20GMT	https://bharatmatka.in.net/images/icon-1.webp	C:/My%20Web%20Sites/dmboss/bharatmatka.in.net/images/icon-1.webp	(from https://bharatmatka.in.net/)
09:45:02	332/332	---M--	200	added ('OK')	image/webp	date:Fri,%2019%20Apr%202024%2004:25:50%20GMT	https://bharatmatka.in.net/images/icon-2.webp	C:/My%20Web%20Sites/dmboss/bharatmatka.in.net/images/icon-2.webp	(from https://bharatmatka.in.net/)
09:45:02	240/240	---M--	200	added ('OK')	image/webp	date:Fri,%2019%20Apr%202024%2004:26:10%20GMT	https://bharatmatka.in.net/images/icon-4.webp	C:/My%20Web%20Sites/dmboss/bharatmatka.in.net/images/icon-4.webp	(from https://bharatmatka.in.net/)
